confined,free
0.768,3.584
0.768,0.224
0.928,0.032
1.824,2.688
0.672,0.32
0.896,0.032
1.408,1.856
0.448,0.256
0.5760000000000001,2.016
0.384,0.064
1.8880000000000001,0.128
1.024,0.032
1.76,0.41600000000000004
1.024,0.704
0.736,0.032
0.896,0.704
1.408,0.864
0.768,2.72
0.544,0.096
0.512,1.984
0.41600000000000004,0.8
2.56,0.032
0.41600000000000004,0.064
0.768,0.16
0.672,1.344
0.352,3.872
0.672,0.224
3.616,0.192
0.512,1.952
1.344,4.352
0.352,0.224
0.672,0.032
0.32,1.696
0.32,0.16
0.864,0.8
0.32,0.544
0.32,0.16
0.608,0.992
0.384,2.656
0.512,0.032
0.32,0.224
0.41600000000000004,0.096
0.5760000000000001,0.256
0.8320000000000001,0.032
0.384,0.448
0.48,0.41600000000000004
0.672,0.032
0.448,0.32
0.896,0.032
0.41600000000000004,0.032
0.41600000000000004,1.1520000000000001
0.352,0.41600000000000004
0.512,0.064
0.704,0.864
3.168,0.064
0.5760000000000001,0.192
0.32,1.3760000000000001
0.512,1.92
0.8320000000000001,3.2
0.5760000000000001,1.952
0.672,1.6
0.352,4.64
1.6320000000000001,0.48
1.536,1.504
0.5760000000000001,0.16
0.448,0.032
0.41600000000000004,1.184
0.608,1.568
0.448,0.256
0.32,0.128
1.056,0.224
0.32,4.224
0.64,0.28800000000000003
1.056,2.112
0.384,0.16
0.384,2.368
0.704,0.128
0.384,1.6320000000000001
2.496,0.224
0.64,0.992
1.184,2.048
1.824,0.384
1.568,1.024
0.384,1.568
0.41600000000000004,0.384
0.864,1.408
0.672,4.096
0.544,4.832
0.384,6.112
2.464,7.68
0.448,0.704
1.312,0.096
0.352,1.056
0.32,1.248
0.64,0.096
0.384,2.4
0.32,1.3760000000000001
0.64,0.224
0.48,0.224
0.64,2.048
0.32,1.312
0.352,1.472
0.608,0.8
0.768,2.208
0.544,2.24
2.7840000000000003,3.04
2.208,0.672
1.088,1.6640000000000001
0.928,0.448
0.5760000000000001,0.192
0.544,0.064
1.792,0.032
2.3040000000000003,1.792
0.544,1.728
1.728,1.44
1.3760000000000001,0.096
0.5760000000000001,1.856
0.352,2.208
1.6640000000000001,0.032
0.352,0.128
0.448,0.128
0.8320000000000001,1.696
0.48,2.496
1.312,1.28
1.504,0.032
0.736,0.032
0.41600000000000004,0.128
1.792,8.224
0.384,0.032
0.32,4.256
0.768,0.864
0.736,0.864
0.48,2.176
0.544,2.144
0.41600000000000004,2.144
0.48,1.984
0.352,11.84
1.088,1.6
0.41600000000000004,0.064
0.672,0.032
0.448,0.8
1.344,0.928
0.768,0.256
1.472,0.096
2.016,0.544
0.608,0.096
0.512,0.384
0.672,1.504
0.704,5.344
0.48,3.2960000000000003
0.48,2.912
1.312,0.48
0.448,0.8320000000000001
0.672,1.92
0.896,0.48
0.64,0.032
0.352,0.128
0.32,0.28800000000000003
1.216,0.896
0.384,1.088
0.64,0.032
0.384,0.064
0.544,2.336
0.352,1.1520000000000001
0.512,0.448
1.472,2.656
2.208,0.8
3.7760000000000002,0.096
0.928,0.064
0.768,0.352
0.704,0.384
0.41600000000000004,1.952
0.512,0.41600000000000004
0.41600000000000004,0.352
0.5760000000000001,0.8
3.136,2.4
0.352,0.064
2.336,0.448
0.352,4.032
1.6320000000000001,0.48
0.352,0.032
0.384,0.32
0.32,1.952
2.656,0.5760000000000001
0.32,1.696
0.448,5.344
0.41600000000000004,0.928
0.41600000000000004,0.41600000000000004
0.32,0.608
1.344,0.28800000000000003
0.672,2.7520000000000002
0.896,0.032
0.32,0.224
0.8,2.048
0.512,0.768
0.8320000000000001,1.3760000000000001
1.024,1.12
0.672,1.472
0.608,3.872
2.3040000000000003,9.024000000000001
0.928,0.768
4.672,1.536
0.8,3.648
1.184,4.64
0.352,0.096
0.32,2.112
0.32,0.032
0.352,2.3040000000000003
0.32,1.92
0.352,0.8
0.5760000000000001,0.032
0.5760000000000001,2.24
2.56,6.784
0.896,0.672
0.41600000000000004,0.16
0.672,3.616
0.32,0.704
0.544,2.848
0.864,5.024
0.352,0.928
0.32,0.928
0.352,0.384
0.32,3.904
0.544,3.072
0.544,3.904
1.1520000000000001,2.592
0.992,2.528
0.32,2.7840000000000003
0.32,0.096
0.544,0.064
0.5760000000000001,0.544
0.608,0.8320000000000001
0.896,1.696
0.608,0.032
0.512,0.192
1.344,0.96
0.544,9.056000000000001
0.8,0.032
1.568,0.41600000000000004
0.704,0.608
0.8320000000000001,2.336
1.024,0.224
0.32,4.192
1.024,4.192
1.024,1.6320000000000001
0.384,1.536
0.48,0.096
0.704,1.312
1.728,1.024
0.8,0.352
0.896,0.64
0.608,0.41600000000000004
0.352,0.032
0.41600000000000004,0.032
2.176,0.32
0.32,1.184
1.024,7.872
0.352,0.256
1.088,2.7520000000000002
0.5760000000000001,0.384
0.5760000000000001,0.512
0.64,0.032
0.544,0.064
0.32,0.32
0.384,1.1520000000000001
0.32,0.992
0.32,1.536
0.32,0.064
0.768,1.44
0.352,5.024
0.512,4.6080000000000005
0.512,0.224
0.672,1.984
0.896,0.064
0.864,0.224
0.736,0.928
0.352,0.032
0.8320000000000001,0.032
0.512,0.608
0.608,0.256
0.352,0.128
0.96,1.6640000000000001
0.736,0.64
0.48,0.032
1.12,0.64
0.8,0.16
0.608,1.1520000000000001
0.544,0.032
0.448,0.192
0.448,5.216
0.32,0.672
0.896,0.448
0.32,1.056
0.384,0.224
1.6640000000000001,0.032
0.5760000000000001,0.128
,1.184
,1.12
,2.368
,2.336
,10.72
,3.36
,1.824
,0.256
,1.44
,8.064
,0.128
,0.032
,0.512
,0.032
,0.28800000000000003
,0.928
,3.424
,1.952
,0.28800000000000003
,0.704
,2.2720000000000002
,0.5760000000000001
,0.41600000000000004
,0.672
,3.712
,1.12
,3.232
,0.512
,0.096
,0.064
,2.112
,1.088
,0.736
,0.256
,1.12
,3.904
,0.41600000000000004
,6.08
,0.512
,6.432
,0.448
,4.32
,5.184
,2.592
,4.992
,0.128
,3.392
,0.896
,0.032
,0.032
,0.032
,0.032
,0.128
,0.064
,0.64
,0.5760000000000001
,1.728
,5.12
,0.928
,2.816
,1.728
,3.424
,1.344
,0.064
,2.144
,3.232
,2.528
,1.856
,2.368
,0.032
,0.28800000000000003
,3.04
,1.056
,3.7760000000000002
,3.52
,0.48
,1.6
,3.2
,3.392
,0.096
,0.352
,0.512
,0.864
,3.904
,2.816
,0.5760000000000001
,0.48
,1.536
,2.944
,0.28800000000000003
,0.864
,2.592
,0.864
,0.48
,1.504
,1.312
